6.999999999999813554e+02,6.926100078891920475e+02,6.852201830168629613e+02,6.778302665318600475e+02,6.704400061049743726e+02,6.630492121643147811e+02,6.556577438631586574e+02,6.482654754005081941e+02,6.408722472555476770e+02,6.334777993566090117e+02,6.260816858307433677e+02,6.186831786552536414e+02,6.112811765276976530e+02,6.038741404229798491e+02,5.964600744784148674e+02,5.890365600393658951e+02,5.816008365015445634e+02,5.741499113015369176e+02,5.666806771839555950e+02,5.591900178396148249e+02,5.516748902323109860e+02,5.441323797667580493e+02,5.365597303830184046e+02,5.289543548490051990e+02,5.213138313455029902e+02,5.136358917828474659e+02,5.059184060019109666e+02,4.981593646679440894e+02,4.903568625505532168e+02,4.825090830790385326e+02,4.746142845423381118e+02,4.666707879991171239e+02,4.586769668061527909e+02,4.506312376058422728e+02,4.425320525969978007e+02,4.343778929220004557e+02,4.261672630231433345e+02,4.178986858436341549e+02,4.095706987703225082e+02,4.011818502341417343e+02,3.927306969000563868e+02,3.842158013911002854e+02,3.756357305012185748e+02,3.669890538594872851e+02,3.582743430142497232e+02,3.494901709101043252e+02,3.406351117337776486e+02,3.317077411069311665e+02,3.227066366050682973e+02,3.136303785820746270e+02,3.044775512796711041e+02,2.952467442003019755e+02,2.859365537208291244e+02,2.765455849229668956e+02,2.670724536147824324e+02,2.575157885159140960e+02,2.478742335775712320e+02,2.381464504070226269e+02,2.283311207653835027e+02,2.184269491073675908e+02,2.084326651327336890e+02,1.983470263221046253e+02,1.881688204358724477e+02,1.778968679660630698e+02,1.675300245462639737e+02,1.570671833390461529e+02,1.465072774522510599e+02,1.358492824855726724e+02,1.250922192646724938e+02,1.142351566741513693e+02,1.032772146651267064e+02,9.221756787346201634e+01,8.105545072731207767e+01,6.979016155766211682e+01,5.842106021492608647e+01,4.694756555236921258e+01,3.536915369573385703e+01,2.368535635252812099e+01,1.189575914885149999e+01,0.000000000000000000e+00
6.999999999999603233e+02,6.926091518457305938e+02,6.852184690365647839e+02,6.778276906054771871e+02,6.704365624793541656e+02,6.630448937543408192e+02,6.556525427248965343e+02,6.482593833348836370e+02,6.408652566294820190e+02,6.334699042209456366e+02,6.260728833478279967e+02,6.186734707189779101e+02,6.112705713110785837e+02,6.038626535046290655e+02,5.964477292451587118e+02,5.890233872355898939e+02,5.815868730213883282e+02,5.741351984981204168e+02,5.666652590368330493e+02,5.591739392772425390e+02,5.516581957962865772e+02,5.441151126845909403e+02,5.365419320243400989e+02,5.289360644894604775e+02,5.212950861477827402e+02,5.136167269124838413e+02,5.058988548139079171e+02,4.981394589203127339e+02,4.903366326177964538e+02,4.824885581511172177e+02,4.745934928028860895e+02,4.666497567815916909e+02,4.586557227292288985e+02,4.506098066905365727e+02,4.425104603683528239e+02,4.343561644980653682e+02,4.261454231937011627e+02,4.178767591407699342e+02,4.095487095325787550e+02,4.011598226656892621e+02,3.927086551260335909e+02,3.841937695100394308e+02,3.756137326352817922e+02,3.669671142030671831e+02,3.582524858813488322e+02,3.494684207807870280e+02,3.406134932998822933e+02,3.316862793171393946e+02,3.226853567093478432e+02,3.136093061754409632e+02,3.044567123451511748e+02,2.952261651509295461e+02,2.859162614404552301e+02,2.765256068056321510e+02,2.670528176023666447e+02,2.574965231337599789e+02,2.478553679677643515e+02,2.381280143590074090e+02,2.283131447435986843e+02,2.184094642755979976e+02,2.084157033748938090e+02,1.983306202591969338e+02,1.881530034388921138e+02,1.778816741646527930e+02,1.675154888329512346e+02,1.570533413689248903e+02,1.464941656379861570e+02,1.358369379876051255e+02,1.250806799765283444e+02,1.142244612028585493e+02,1.032674023067640547e+02,9.220867858371420311e+01,8.104752508655792553e+01,6.978324073136805339e+01,5.841518591266503080e+01,4.694277998575268640e+01,3.536549953513957689e+01,2.368287668286845360e+01,1.189449742464328530e+01,0.000000000000000000e+00
6.999999999999856755e+02,6.926082978706846234e+02,6.852167591891090979e+02,6.778251208670008054e+02,6.704331270809960870e+02,6.630405855880487707e+02,6.556473538154541529e+02,6.482533054417498306e+02,6.408582820649444329e+02,6.334620269640272454e+02,6.260641004678864192e+02,6.186637839938214256e+02,6.112599887768371900e+02,6.038511905897680663e+02,5.964354091848755388e+02,5.890102406342800805e+02,5.815729366558226729e+02,5.741205136329598417e+02,5.666498695929246878e+02,5.591578901504118448e+02,5.516415315152275980e+02,5.440978764765201277e+02,5.365241652647318915e+02,5.289178064608489649e+02,5.212763740172771350e+02,5.135975958454463353e+02,5.058793381595467622e+02,4.981195884249187884e+02,4.903164386383823512e+02,4.824680698547788893e+02,4.745727383455156314e+02,4.666287634645443063e+02,4.586345171352070338e+02,4.505884148011585921e+02,4.424889076662287266e+02,4.343344760561197404e+02,4.261236237541973537e+02,4.178548731861360466e+02,4.095267613497882735e+02,4.011378364056292298e+02,3.926866548590180628e+02,3.841717792783910568e+02,3.755917765037057734e+02,3.669452163073763131e+02,3.582306704759550371e+02,3.494467122852544207e+02,3.405919163447310325e+02,3.316648587889983446e+02,3.226641177954728050e+02,3.135882744075450432e+02,3.044359136424312169e+02,2.952056258621188363e+02,2.858960083846865814e+02,2.765056673118586446e+02,2.670332195470569445e+02,2.574772949765645080e+02,2.478365387848364776e+02,2.381096138736591286e+02,2.282952033539756087e+02,2.183920130790704377e+02,2.083987741888811627e+02,1.983142456381677619e+02,1.881372166873128151e+02,1.778665093456884279e+02,1.675009807727520013e+02,1.570395256563595296e+02,1.464810786197017762e+02,1.358246167582906878e+02,1.250691623642854466e+02,1.142137857496831543e+02,1.032576082441632224e+02,9.219980580333134412e+01,8.103961410533386811e+01,6.977633265200856272e+01,5.840932238273118315e+01,4.693800315566195280e+01,3.536185201495987229e+01,2.368040149815026751e+01,1.189323797154994367e+01,0.000000000000000000e+00
6.999999999999854481e+02,6.926074459667430574e+02,6.852150534799498018e+02,6.778225573246568274e+02,6.704296999209095702e+02,6.630362876792455609e+02,6.556421771514563943e+02,6.482472417405848546e+02,6.408513235843267921e+02,6.334541676112540927e+02,6.260553372194452777e+02,6.186541185115382859e+02,6.112494289599726471e+02,6.038397517165018371e+02,5.964231143384338338e+02,5.889971202785260402e+02,5.815590274494726373e+02,5.741058567514774040e+02,5.666345088977506066e+02,5.591418705041489829e+02,5.516248974332178250e+02,5.440806711853857678e+02,5.365064301456160365e+02,5.288995808030999797e+02,5.212576949924149403e+02,5.135784986186971537e+02,5.058598560743787402e+02,4.980997532159672687e+02,4.902962806452339919e+02,4.824476182217248379e+02,4.745520212007605210e+02,4.666078080773889383e+02,4.586133500524236410e+02,4.505670619650038589e+02,4.424673945169129183e+02,4.343128276214725929e+02,4.261018647289893124e+02,4.178330280031635766e+02,4.095048542444794180e+02,4.011158914756097715e+02,3.926646961197996006e+02,3.841498307161073740e+02,3.755698621256258320e+02,3.669233601907532147e+02,3.582088968156298279e+02,3.494250454403102140e+02,3.405703808843887259e+02,3.316434795378522722e+02,3.226429198780847969e+02,3.135672832923435749e+02,3.044151551848003692e+02,2.951851263465081843e+02,2.858757945655272010e+02,2.764857664530323405e+02,2.670136594596368127e+02,2.574581040545241422e+02,2.478177460384118547e+02,2.380912489600445099e+02,2.282772966050377192e+02,2.183745955257795117e+02,2.083818775821755480e+02,1.982979024659959748e+02,1.881214601876261270e+02,1.778513735151879018e+02,1.674865003712238263e+02,1.570257362064604365e+02,1.464680164020739142e+02,1.358123188018836629e+02,1.250576664317887179e+02,1.142031303180727377e+02,1.032478324803859380e+02,9.219094953500028566e+01,8.103171778596235697e+01,6.976943732155146449e+01,5.840346962674683340e+01,4.693323506338204254e+01,3.535821113614994005e+01,2.367793079900532760e+01,1.189198078988520813e+01,0.000000000000000000e+00
6.999999999999662350e+02,6.926065961366732608e+02,6.852133519146179879e+02,6.778199999867473480e+02,6.704262810101785135e+02,6.630320000418121253e+02,6.556370127496026043e+02,6.482411922509412534e+02,6.408443812100958894e+02,6.334463261881023755e+02,6.260465936311081805e+02,6.186444743039625109e+02,6.112388918955687132e+02,6.038283369230282460e+02,5.964108447468057648e+02,5.889840262115347969e+02,5.815451454470969566e+02,5.740912278992450410e+02,5.666191769969939287e+02,5.591258803836536799e+02,5.516082935945225927e+02,5.440634968542135539e+02,5.364887267086025986e+02,5.288813875563307647e+02,5.212390491118119371e+02,5.135594352693842666e+02,5.058404085941404560e+02,4.980799533278471358e+02,4.902761586714573809e+02,4.824272032838386508e+02,4.745313413993360996e+02,4.665868906497206581e+02,4.585922215093951877e+02,4.505457482095472415e+02,4.424459209468712970e+02,4.342912192196101842e+02,4.260801461426109427e+02,4.178112236154586867e+02,4.094829882393541993e+02,4.010939878974512567e+02,3.926427789293384762e+02,3.841279238433098158e+02,3.755479895203446858e+02,3.669015458717018987e+02,3.581871649180978352e+02,3.494034202629187575e+02,3.405488869350779737e+02,3.316221415792005587e+02,3.226217629719780575e+02,3.135463328439430484e+02,3.043944369856944263e+02,2.951646666168794582e+02,2.858556199951211738e+02,2.764659042406751723e+02,2.669941373510216067e+02,2.574389503779627262e+02,2.477989897382379638e+02,2.380729196273492505e+02,2.282594245054235387e+02,2.183572116238304659e+02,2.083650135623628898e+02,1.982815907497619605e+02,1.881057339464203437e+02,1.778362666792606888e+02,1.674720476340106359e+02,1.570119730244189782e+02,1.464549789898542258e+02,1.358000441227084991e+02,1.250461921829476779e+02,1.141924949115337142e+02,1.032380750185469651e+02,9.218210978145523882e+01,8.102383613080746727e+01,6.976255474200051765e+01,5.839762764636440551e+01,4.692847571022225850e+01,3.535457689968325212e+01,2.367546458607765203e+01,1.189072587996895614e+01,0.000000000000000000e+00
6.999999999999786269e+02,6.926057483832845492e+02,6.852116544986856752e+02,6.778174488616144799e+02,6.704228703599262644e+02,6.630277226896681668e+02,6.556318606266298730e+02,6.482351569924085197e+02,6.408374549647553522e+02,6.334385027200845570e+02,6.260378697315157979e+02,6.186348514029665466e+02,6.112283776187525746e+02,6.038169462475963201e+02,5.963986004510272778e+02,5.889709584765935233e+02,5.815312906935516821e+02,5.740766271219488317e+02,5.666038739364677213e+02,5.591099198342687941e+02,5.515917200435593486e+02,5.440463535261879997e+02,5.364710549954637600e+02,5.288632267608221582e+02,5.212204364142478425e+02,5.135404058348193530e+02,5.058209957547302338e+02,4.980601887951081039e+02,4.902560727503180829e+02,4.824068250731618832e+02,4.745106989721143123e+02,4.665660112112897195e+02,4.585711315347924710e+02,4.505244735624169721e+02,4.424244869827227831e+02,4.342696508761715677e+02,4.260584680197482044e+02,4.177894600467795954e+02,4.094611633572664573e+02,4.010721256931254288e+02,3.926209033087457669e+02,3.841060586802693138e+02,3.755261587073136411e+02,3.668797733688736002e+02,3.581654748012296068e+02,3.493818367701888405e+02,3.405274345131646214e+02,3.316008449286841255e+02,3.226006470920860920e+02,3.135254230765869465e+02,3.043737590586837882e+02,2.951442466861465164e+02,2.858354846857419602e+02,2.764460806864361757e+02,2.669746532322511712e+02,2.574198339573259773e+02,2.477802698941809751e+02,2.380546258848744117e+02,2.282415870638828892e+02,2.183398613814360374e+02,2.083481821371323690e+02,1.982653104966447870e+02,1.880900379703779777e+02,1.778211888441060751e+02,1.674576225668414224e+02,1.569982361155067849e+02,1.464419663878696269e+02,1.357877927251598180e+02,1.250347396217368043e+02,1.141818795336321699e+02,1.032283358618154239e+02,9.217328654547912947e+01,8.101596914227617674e+01,6.975568491539632987e+01,5.839179644326709706e+01,4.692372509751655230e+01,3.535094930655179724e+01,2.367300286002361176e+01,1.188947324212726286e+01,0.000000000000000000e+00
6.999999999999736247e+02,6.926049027092913093e+02,6.852099612376338200e+02,6.778149039575130246e+02,6.704194679811932929e+02,6.630234556366544894e+02,6.556267207992010526e+02,6.482291359845077068e+02,6.408305448707453706e+02,6.334306972326552341e+02,6.260291655492568452e+02,6.186252498403791833e+02,6.112178861646174255e+02,6.038055797284346227e+02,5.963863814921305675e+02,5.889579171170038308e+02,5.815174632337277671e+02,5.740620544653297657e+02,5.665885997620584931e+02,5.590939889014258597e+02,5.515751768248466078e+02,5.440292412446032131e+02,5.364534150480880044e+02,5.288450984569759612e+02,5.212018569386266336e+02,5.135214103524405118e+02,5.058016175921756599e+02,4.980404596524308545e+02,4.902360229152142210e+02,4.823864836218706387e+02,4.744900939501035850e+02,4.665451697919848471e+02,4.585500801574266347e+02,4.505032380513837325e+02,4.424030926512300539e+02,4.342481226169408615e+02,4.260368303852336567e+02,4.177677373210318024e+02,4.094393796212181655e+02,4.010503048847527339e+02,3.925990692792817072e+02,3.840842352474066388e+02,3.755043697061337866e+02,3.668580427010694507e+02,3.581438264830454159e+02,3.493602949793785228e+02,3.405060236351625917e+02,3.315795896020906639e+02,3.225795722534879246e+02,3.135045540046626229e+02,3.043531214174806223e+02,2.951238665673625405e+02,2.858153886497995586e+02,2.764262958020973997e+02,2.669552071144948968e+02,2.574007548031855208e+02,2.477615865162291584e+02,2.380363677420390900e+02,2.282237842892798199e+02,2.183225448069187848e+02,2.083313833142788098e+02,1.982490617139249593e+02,1.880743722662782602e+02,1.778061400160150356e+02,1.674432251755318930e+02,1.569845254850769720e+02,1.464289786010231751e+02,1.357755646137029260e+02,1.250233087521955895e+02,1.141712841879935638e+02,1.032186150134139098e+02,9.216447982990250409e+01,8.100811682281728565e+01,6.974882784381559020e+01,5.838597601916838897e+01,4.691898322662325427e+01,3.534732835776597426e+01,2.367054562151189856e+01,1.188822287669237809e+01,0.000000000000000000e+00
6.999999999999685087e+02,6.926040591174729570e+02,6.852082721370078389e+02,6.778123652827621299e+02,6.704160738850831649e+02,6.630191988966752206e+02,6.556215932840422056e+02,6.482231292468218271e+02,6.408236509505675258e+02,6.334229097513306215e+02,6.260204811129829068e+02,6.186156696480936716e+02,6.112074175683256954e+02,6.037942374038490243e+02,5.963741879112363904e+02,5.889449021761715812e+02,5.815036631126367865e+02,5.740475099752663937e+02,5.665733545198037291e+02,5.590780876307185281e+02,5.515586639830728473e+02,5.440121600529286070e+02,5.364358069085416219e+02,5.288270026853718946e+02,5.211833107240290701e+02,5.135024488598609196e+02,5.057822741426766129e+02,4.980207659346658033e+02,4.902160091997114364e+02,4.823661789623064919e+02,4.744695263644759962e+02,4.665243664218571098e+02,4.585290674062697462e+02,4.504820417043778207e+02,4.423817379793143232e+02,4.342266344678596965e+02,4.260152332640557802e+02,4.177460554622756490e+02,4.094176370543646044e+02,4.010285254946056739e+02,3.925772768623572802e+02,3.840624535652916620e+02,3.754826225365538903e+02,3.668363538872363847e+02,3.581222199817094065e+02,3.493387949078878023e+02,3.404846543177258695e+02,3.315583756153458808e+02,3.225585384713983217e+02,3.134837256426907288e+02,3.043325240759282337e+02,2.951035262737095763e+02,2.857953318998306145e+02,2.764065495995656647e+02,2.669357990090445014e+02,2.573817129262324102e+02,2.477429396144872555e+02,2.380181452083757279e+02,2.282060161905881159e+02,2.183052619087074220e+02,2.083146171016990991e+02,1.982328444089807249e+02,1.880587368409939870e+02,1.777911202013678178e+02,1.674288554659824229e+02,1.569708411385625766e+02,1.464160156342929895e+02,1.357633597928731604e+02,1.250118995784284976e+02,1.141607088783028559e+02,1.032089124766191048e+02,9.215568963760446763e+01,8.100027917492236895e+01,6.974198352937185064e+01,5.838016637581255708e+01,4.691425009892539322e+01,3.534371405435469882e+01,2.366809287122359606e+01,1.188697478400276886e+01,0.000000000000000000e+00
6.999999999999807869e+02,6.926032176106095903e+02,6.852065872023538304e+02,6.778098328456812851e+02,6.704126880827010382e+02,6.630149524836363071e+02,6.556164780978824638e+02,6.482171367989395776e+02,6.408167732267319252e+02,6.334151403016378481e+02,6.260118164513587544e+02,6.186061108580209975e+02,6.111969718650643699e+02,6.037829193121799563e+02,5.963620197495141610e+02,5.889319136975674382e+02,5.814898903753741024e+02,5.740329936977389025e+02,5.665581382558601717e+02,5.590622160678738055e+02,5.515421815630705851e+02,5.439951099947850253e+02,5.364182306190461986e+02,5.288089394867480451e+02,5.211647978096956422e+02,5.134835213948538239e+02,5.057629654425936678e+02,4.980011076768248586e+02,4.901960316375374873e+02,4.823459111269733057e+02,4.744489962465664803e+02,4.665036011311203197e+02,4.585080933104571272e+02,4.504608845494928460e+02,4.423604229940605705e+02,4.342051864550337541e+02,4.259936766813680151e+02,4.177244144947371751e+02,4.093959356800274350e+02,4.010067875451235295e+02,3.925555260795502477e+02,3.840407136546609195e+02,3.754609172184888735e+02,3.668147069464869787e+02,3.581006553155503980e+02,3.493173365732799311e+02,3.404633265776701592e+02,3.315372029845352131e+02,3.225375457611895627e+02,3.134629380053472119e+02,3.043119670480222112e+02,2.950832258185187129e+02,2.857753144485168946e+02,2.763868420908883650e+02,2.669164289273279564e+02,2.573627083372895186e+02,2.477243291991871672e+02,2.379999582935390947e+02,2.281882827768991717e+02,2.182880126953434967e+02,2.082978835073981543e+02,1.982166585892935586e+02,1.880431317014959802e+02,1.777761294066372955e+02,1.674145134441806988e+02,1.569571830814786608e+02,1.464030774927337006e+02,1.357511782672767708e+02,1.250005121046052068e+02,1.141501536083047625e+02,1.031992282547617350e+02,9.214691597151228564e+01,8.099245620112532151e+01,6.973515197421507139e+01,5.837436751497439502e+01,4.690952571583054009e+01,3.534010639736543169e+01,2.366564460985218332e+01,1.188572896440310878e+01,0.000000000000000000e+00
6.999999999999735110e+02,6.926023781914284427e+02,6.852049064391673028e+02,6.778073066545416623e+02,6.704093105851050041e+02,6.630107164113986755e+02,6.556113752574077580e+02,6.482111586604078184e+02,6.408099117217085450e+02,6.334073889090664125e+02,6.260031715930155087e+02,6.185965735020437251e+02,6.111865490899995166e+02,6.037716254917578453e+02,5.963498770481378415e+02,5.889189517246849164e+02,5.814761450670763452e+02,5.740185056787878466e+02,5.665429510164623252e+02,5.590463742587113529e+02,5.515257296097765902e+02,5.439780911139057480e+02,5.364006862219430332e+02,5.287909089019660769e+02,5.211463182349937142e+02,5.134646279953219619e+02,5.057436915284183101e+02,4.979814849140514070e+02,4.901760902625520089e+02,4.823256801485079563e+02,4.744285036278434973e+02,4.664828739501232917e+02,4.584871578992599552e+02,4.504397666149595238e+02,4.423391477226917914e+02,4.341837786047077543e+02,4.259721606624634092e+02,4.177028144427817438e+02,4.093742755216675846e+02,4.009850910588843931e+02,3.925338169525768421e+02,3.840190155363889630e+02,3.754392537719912184e+02,3.667931018980705744e+02,3.580791325030332928e+02,3.492959199932534489e+02,3.404420404319453155e+02,3.315160717258773957e+02,3.225165941383659742e+02,3.134421911074384752e+02,3.042914503478872348e+02,2.950629652152483686e+02,2.857553363086659601e+02,2.763671732882369838e+02,2.668970968808950488e+02,2.573437410472992610e+02,2.477057552806777210e+02,2.379818070072981300e+02,2.281705840574153683e+02,2.182707971754757921e+02,2.082811825394843765e+02,1.982005042624440989e+02,1.880275568548499621e+02,1.777611676383869792e+02,1.674001991162002696e+02,1.569435513194210614e+02,1.463901641814756545e+02,1.357390200415906065e+02,1.249891463349607079e+02,1.141396183818036718e+02,1.031895623512265985e+02,9.213815883460166845e+01,8.098464790400271340e+01,6.972833318053197615e+01,5.836857943845944163e+01,4.690481007877095010e+01,3.533650538786419304e+01,2.366320083810356678e+01,1.188448541824431537e+01,0.000000000000000000e+00
